bisai,host,guest
856304,3,0.0
865550,0,4.0
883303,2,1.0
885306,2,1.0
885521,0,0.0
885585,1,2.0
885591,1,0.0
885640,0,2.0
885641,1,6.0
854270,3,1.0
854273,1,4.0
885642,0,1.0
885579,1,0.0
885643,0,0.0
873497,1,2.0
867857,4,0.0
867972,2,1.0
867996,3,0.0
868069,1,0.0
876060,5,2.0
883224,1,1.0
876235,1,1.0
873494,0,2.0
873495,1,2.0
883222,1,1.0
876154,1,1.0
883223,2,1.0
883225,2,1.0
883228,1,2.0
854268,6,1.0
868042,1,1.0
850101,3,2.0
877365,2,1.0
856993,2,0.0
857002,2,1.0
885771,0,2.0
885645,1,2.0
884035,3,2.0
885648,2,0.0
885659,2,3.0
851130,0,2.0
865554,3,0.0
885649,0,2.0
885706,0,9.0
885646,1,4.0
846888,4,2.0
882187,0,1.0
885647,7,1.0
885650,1,2.0
876353,0,3.0
885707,0,3.0
876239,1,1.0
878518,3,0.0
878520,2,1.0
878521,1,0.0
868080,1,3.0
850102,4,0.0
850103,0,0.0
850104,2,0.0
885653,1,2.0
885739,0,2.0
883559,1,3.0
885742,4,0.0
877308,1,6.0
862218,1,0.0
885583,0,0.0
885741,4,0.0
876335,2,1.0
878380,3,0.0
885721,1,0.0
885740,5,0.0
885743,4,0.0
885745,0,0.0
885748,2,0.0
886036,1,0.0
886037,1,2.0
877385,2,3.0
882237,2,0.0
885654,1,3.0
885749,0,1.0
878492,2,0.0
876046,1,1.0
878473,2,3.0
885718,1,2.0
885719,1,2.0
885720,1,1.0
885744,1,3.0
885747,2,0.0
885767,1,0.0
885768,3,2.0
882212,5,1.0
885723,2,0.0
885751,4,2.0
885753,3,1.0
885754,0,5.0
878428,2,1.0
856259,0,0.0
878379,2,1.0
885280,2,1.0
885679,1,2.0
885725,2,3.0
885726,1,1.0
885752,0,1.0
885757,1,5.0
877327,1,0.0
885724,0,1.0
885756,2,0.0
877366,4,5.0
885730,2,2.0
886013,0,8.0
878378,0,3.0
885727,1,1.0
885729,0,0.0
885731,3,1.0
885732,2,6.0
885734,0,2.0
885755,2,5.0
885758,3,1.0
863854,4,3.0
885728,1,1.0
885733,0,2.0
885735,1,1.0
885736,0,1.0
885737,2,0.0
885738,0,0.0
885759,1,1.0
886014,2,2.0
876354,0,2.0
868875,0,0.0
868870,0,1.0
873492,2,2.0
873371,3,0.0
885594,1,1.0
885760,1,1.0
885762,0,1.0
886043,0,2.0
877350,4,1.0
885509,2,1.0
885766,4,4.0
886342,4,0.0
886020,2,0.0
886022,2,2.0
886023,1,0.0
886024,2,1.0
886047,3,1.0
886021,1,0.0
874342,2,0.0
876300,4,1.0
876350,2,0.0
885597,1,2.0
885761,0,1.0
885763,1,1.0
885764,2,3.0
885765,2,1.0
886016,2,1.0
886048,1,0.0
886051,2,1.0
886060,1,3.0
886062,1,2.0
886340,0,2.0
886341,2,0.0
886343,1,1.0
876155,0,2.0
876167,0,4.0
886044,2,1.0
886339,1,1.0
886715,1,1.0
878412,2,4.0
873493,2,0.0
883298,1,2.0
885584,0,0.0
885603,1,1.0
886049,0,0.0
886057,2,0.0
886058,1,1.0
886061,1,0.0
886063,3,0.0
886336,2,1.0
886059,1,4.0
855283,2,1.0
882221,1,4.0
884579,2,2.0
886052,1,0.0
886056,1,0.0
886716,0,0.0
877412,0,1.0
878377,2,0.0
881895,0,2.0
885536,1,3.0
885635,0,1.0
886053,1,4.0
886054,1,1.0
886055,1,2.0
886717,3,1.0
886050,3,3.0
886723,1,2.0
873504,3,2.0
877289,0,3.0
874380,0,1.0
886736,0,1.0
876061,2,0.0
873507,1,2.0
873442,1,0.0
873894,2,0.0
873502,1,2.0
886035,0,2.0
850105,0,1.0
877354,2,0.0
886068,1,2.0
874242,0,2.0
875916,1,2.0
875921,1,1.0
873501,0,1.0
877398,0,2.0
877310,0,0.0
878501,3,3.0
886718,2,3.0
878455,1,0.0
886767,1,2.0
886096,3,3.0
878476,5,0.0
878462,2,1.0
878471,2,1.0
878499,0,1.0
878502,2,3.0
882232,2,1.0
886335,0,4.0
886720,2,3.0
886770,1,1.0
886775,2,0.0
886837,1,1.0
873982,1,3.0
878447,2,2.0
878479,0,1.0
885750,1,4.0
886745,1,0.0
856506,3,2.0
878427,1,1.0
878430,1,1.0
878433,4,1.0
878446,0,2.0
878451,1,1.0
878458,1,2.0
878469,2,0.0
878478,0,2.0
878493,3,0.0
878495,4,1.0
878503,2,0.0
886719,1,0.0
886721,1,1.0
886722,1,1.0
886758,0,2.0
886765,0,1.0
886766,2,5.0
878431,6,0.0
878444,1,0.0
878472,0,1.0
878475,0,1.0
878500,1,0.0
882223,2,0.0
878411,0,1.0
878413,0,1.0
878426,0,2.0
878468,2,0.0
878497,1,0.0
882245,1,0.0
886099,1,0.0
886771,4,0.0
878449,0,2.0
878424,0,2.0
878448,5,0.0
878453,5,0.0
878494,1,2.0
878496,1,2.0
878498,0,3.0
878516,1,2.0
878452,1,2.0
878454,1,3.0
886760,0,3.0
878425,1,1.0
878429,0,6.0
878450,2,0.0
886338,1,6.0
886763,1,5.0
887426,1,3.0
876062,0,2.0
853914,1,1.0
853920,2,0.0
875919,1,0.0
874244,2,1.0
887451,1,2.0
885518,4,0.0
886776,3,3.0
887514,0,1.0
887558,3,1.0
887559,0,1.0
883550,2,2.0
860868,2,1.0
886100,2,1.0
885682,0,3.0
875172,0,1.0
862227,1,5.0
876164,0,0.0
877386,1,1.0
887510,3,1.0
862521,1,0.0
876168,0,1.0
886782,1,4.0
851136,3,2.0
887520,2,1.0
854893,3,0.0
878517,2,2.0
878523,0,1.0
878524,2,3.0
882227,2,0.0
883301,0,3.0
885522,0,3.0
885680,0,3.0
886040,1,1.0
886773,0,0.0
886779,3,1.0
886780,4,2.0
887083,1,1.0
887084,1,1.0
887087,3,1.0
887418,2,1.0
887511,8,2.0
887521,2,5.0
887522,1,4.0
887534,0,2.0
887850,1,4.0
851129,1,0.0
876271,1,7.0
886064,2,3.0
886735,2,1.0
887085,1,0.0
887088,2,1.0
887512,1,5.0
887858,0,3.0
846895,1,4.0
876047,1,1.0
876272,2,5.0
877407,1,2.0
877416,5,1.0
887086,1,1.0
887089,2,1.0
887090,0,5.0
887293,3,0.0
887513,1,0.0
887517,2,3.0
887518,1,2.0
887545,3,0.0
887546,0,5.0
853915,2,3.0
887547,0,4.0
874318,0,1.0
874420,1,2.0
887419,0,3.0
887863,2,2.0
877306,1,1.0
883562,2,2.0
887058,3,5.0
887420,2,1.0
887421,2,3.0
887861,2,1.0
852959,4,1.0
852968,1,0.0
852988,1,5.0
863831,0,0.0
875174,0,2.0
887422,3,1.0
887423,0,2.0
863857,1,0.0
853919,1,1.0
875731,1,0.0
868876,2,2.0
887866,0,1.0
875730,1,1.0
850106,0,0.0
887434,3,1.0
871247,2,1.0
854271,3,0.0
850107,0,1.0
864581,2,5.0
864584,4,1.0
855806,2,3.0
887867,3,0.0
850957,2,0.0
850958,0,3.0
850959,1,1.0
863234,4,4.0
863235,3,2.0
863238,3,3.0
863242,1,2.0
860891,2,0.0
855801,1,2.0
855807,2,2.0
876336,1,1.0
887882,4,0.0
855804,1,1.0
865436,2,0.0
876349,2,0.0
882236,2,0.0
887851,0,0.0
855797,2,2.0
858306,0,3.0
874346,0,0.0
876264,1,1.0
883544,2,2.0
883549,2,1.0
887871,1,0.0
887872,1,0.0
850962,2,0.0
858295,3,1.0
885695,1,1.0
856813,2,2.0
856816,2,1.0
856817,0,0.0
856995,2,1.0
856998,1,0.0
857000,0,3.0
857658,4,5.0
857665,2,1.0
858309,1,1.0
858312,2,4.0
858319,3,0.0
858328,0,1.0
858338,2,2.0
858345,2,0.0
858350,1,0.0
859342,0,0.0
857661,3,2.0
861293,1,0.0
879774,5,0.0
883558,1,0.0
876169,8,1.0
883261,0,6.0
887874,1,2.0
860859,2,1.0
860883,0,0.0
860979,0,2.0
861291,2,1.0
861309,4,0.0
861319,2,1.0
881896,0,5.0
883554,1,2.0
885544,1,0.0
885545,2,1.0
885546,4,0.0
885549,1,1.0
885595,1,2.0
887670,1,2.0
887869,2,1.0
887873,2,3.0
887875,1,1.0
887880,2,1.0
887881,0,3.0
887918,4,1.0
877367,2,3.0
887870,0,3.0
874520,3,1.0
851272,1,2.0
854892,3,0.0
855323,2,2.0
862229,1,0.0
874103,0,2.0
874128,1,1.0
877305,1,1.0
877394,1,8.0
879777,6,1.0
881358,5,0.0
887673,8,0.0
887677,0,5.0
887876,0,4.0
887879,1,8.0
