bisai_id,cold,win,draw,lose
997379,big_cold,3.58,3.22,2.5
945061,normal,2.15,3.85,5.0
997380,normal,1.31,5.8,17.0
955796,normal,6.25,4.6,1.8
971499,little_cold,2.25,3.75,4.0
984077,little_cold,1.75,3.89,7.5
954127,normal,4.75,3.88,1.9
991985,normal,4.0,3.95,3.4
974364,normal,1.98,4.21,7.25
959387,normal,2.81,3.75,2.85
956560,normal,2.67,3.41,3.1
976243,normal,4.77,3.95,2.17
956942,normal,1.7,4.4,6.8
947069,normal,2.96,3.73,2.75
974376,little_cold,2.55,3.2,3.4
984083,big_cold,1.7,4.25,8.0
956558,big_cold,1.7,4.2,6.8
997371,normal,2.52,3.2,3.9
956561,little_cold,2.01,4.05,5.5
974367,big_cold,2.0,3.25,5.1
976245,little_cold,3.2,3.68,3.35
945063,normal,2.45,3.65,3.8
973832,normal,2.36,3.52,3.7
956562,normal,2.65,3.61,4.06
953235,normal,13.75,5.75,1.45
953223,normal,2.3,3.63,4.16
975094,big_cold,3.0,3.35,2.91
969237,normal,2.3,3.95,3.9
959152,normal,1.65,4.5,6.26
962295,normal,2.62,3.65,3.7
956552,normal,2.25,3.65,3.6
947068,normal,2.4,3.72,3.75
956559,little_cold,6.6,3.65,1.98
954679,normal,2.3,3.51,3.9
969235,little_cold,2.66,4.05,3.3
952679,little_cold,1.42,4.8,13.0
967087,normal,3.8,3.4,2.65
976257,little_cold,4.8,4.0,1.95
984080,little_cold,3.2,3.34,2.65
953782,normal,1.77,4.2,6.03
955794,normal,1.6,4.6,7.3
976261,big_cold,2.05,3.75,4.5
997376,normal,2.76,3.24,2.8
959389,normal,1.8,4.2,5.0
955000,little_cold,1.69,5.5,10.0
972256,big_cold,2.5,3.7,3.77
959664,normal,2.44,3.55,4.15
945058,little_cold,2.4,3.65,4.48
997373,little_cold,5.0,3.45,2.03
974371,big_cold,1.94,3.65,6.25
960548,little_cold,2.25,3.75,4.6
947070,little_cold,2.15,3.91,3.94
945075,normal,2.32,3.5,4.3
998838,little_cold,2.6,3.05,3.55
998822,little_cold,2.65,3.67,4.5
976249,normal,1.8,4.25,6.5
962435,normal,2.35,3.8,4.9
945071,normal,2.11,4.1,6.35
956947,big_cold,3.45,3.65,2.59
945073,big_cold,2.61,3.45,3.12
957099,normal,6.0,3.82,1.97
954851,big_cold,3.0,3.45,3.0
957653,normal,3.06,3.6,3.3
953236,normal,1.98,5.0,8.5
961698,normal,2.12,4.2,6.5
953248,normal,1.55,4.1,7.0
933855,big_cold,2.4,5.3,4.1
