,bisai,host,guest
354,720375,2,4
355,702660,2,0
356,703822,2,0
357,705986,2,1
358,711347,0,1
359,717210,0,0
360,717237,4,0
361,730640,0,0
362,734168,5,1
363,737018,1,0
364,738918,1,0
365,738923,0,1
366,738932,2,1
367,738939,1,0
368,738954,2,2
369,739025,1,0
370,739132,0,0
371,739152,1,1
372,739170,0,2
373,739173,1,1
374,739225,1,0
375,740472,1,2
376,742273,0,1
377,751851,1,1
378,751862,0,1
379,719565,1,2
380,709627,2,0
381,739898,2,0
382,739899,0,1
383,743291,2,3
384,740072,1,2
385,740074,0,4
386,740077,1,1
387,704528,0,2
388,708834,1,1
389,722542,1,0
390,728882,2,2
391,736713,2,1
392,739062,1,1
393,763271,1,1
394,763275,4,0
395,740471,4,1
396,764762,1,0
397,723549,0,3
398,723551,1,0
399,726923,2,2
400,736058,2,1
401,745120,1,0
402,703819,0,1
403,717216,0,2
404,721580,3,1
405,734145,0,2
406,740467,1,0
407,764532,1,1
408,714870,0,0
409,739895,0,3
410,739903,3,0
411,741059,3,1
412,681052,2,0
413,681085,1,1
414,681098,1,1
415,681160,5,2
416,704539,1,1
417,714044,1,0
418,728612,3,1
419,764763,1,1
420,728616,1,2
421,736712,4,2
422,702657,3,0
423,716005,0,3
424,716021,3,1
425,734166,0,1
426,734826,1,0
427,734828,3,2
428,734934,3,0
429,757385,2,1
430,757388,0,1
431,757391,1,3
432,717225,5,0
433,722004,2,1
434,722005,6,0
435,722006,5,2
436,722007,3,0
437,722008,3,1
438,722009,2,3
439,722010,3,1
440,722011,1,1
441,714034,4,1
442,714039,0,3
443,714076,0,1
444,728622,1,0
445,734940,3,1
446,716006,3,2
447,681056,1,2
448,681116,1,0
449,681168,1,0
450,716469,0,1
451,739896,1,0
452,728789,1,0
453,728813,1,0
454,734830,1,1
455,734936,0,0
456,757383,2,2
457,757390,2,1
458,714032,1,3
459,764704,0,2
460,716026,2,2
461,734822,0,1
462,763683,2,1
463,735276,4,0
464,735267,0,0
465,723630,1,0
