bisai_id,predict_cold
911575,little_cold
886221,big_cold
884380,normal
905769,big_cold
921382,little_cold
905777,little_cold
876995,little_cold
891503,big_cold
856226,normal
850269,little_cold
888969,little_cold
850272,normal
876595,normal
885019,big_cold
892897,little_cold
896871,normal
860912,little_cold
921323,big_cold
886224,big_cold
851236,normal
846996,little_cold
905188,normal
905774,little_cold
868029,little_cold
847656,little_cold
874764,big_cold
920110,big_cold
874754,normal
906336,little_cold
895783,big_cold
906017,little_cold
851233,big_cold
856291,big_cold
916402,normal
915638,normal
916478,little_cold
916479,normal
867987,normal
916476,little_cold
816017,normal
914656,big_cold
816009,normal
816016,normal
915637,big_cold
918967,normal
915643,big_cold
916481,little_cold
916482,normal
916484,little_cold
914645,normal
868009,little_cold
910864,normal
915639,normal
915636,normal
920349,normal
916480,normal
915642,normal
916485,little_cold
915641,normal
919488,normal
915640,big_cold
916477,normal
922109,normal
880464,big_cold
922538,little_cold
880468,big_cold
922592,normal
919945,normal
919947,normal
919956,little_cold
877068,big_cold
922020,big_cold
923976,normal
923977,big_cold
921987,little_cold
922582,normal
923291,little_cold
880523,normal
923931,big_cold
925086,big_cold
877058,big_cold
880469,normal
880481,little_cold
880473,big_cold
923930,normal
880500,little_cold
925704,normal
925057,normal
925195,normal
922579,normal
925834,normal
925192,big_cold
925707,little_cold
923928,normal
925706,normal
880471,big_cold
906360,normal
919955,big_cold
925054,little_cold
880467,big_cold
925196,normal
883042,little_cold
932938,little_cold
880627,big_cold
932936,big_cold
875566,normal
882998,little_cold
883003,big_cold
904918,normal
911601,normal
932940,little_cold
882996,little_cold
885095,little_cold
932939,big_cold
882997,normal
930447,big_cold
879982,big_cold
927881,little_cold
875564,normal
931867,normal
883045,normal
930407,big_cold
932937,big_cold
927806,little_cold
895890,normal
886285,little_cold
875571,little_cold
931869,normal
927887,big_cold
874933,big_cold
930463,normal
932294,normal
932378,big_cold
875573,normal
883029,little_cold
883067,normal
885096,big_cold
923207,big_cold
876520,little_cold
875563,little_cold
885098,big_cold
932363,normal
884792,big_cold
875570,normal
932312,big_cold
931325,little_cold
875565,little_cold
889309,normal
932337,normal
883036,little_cold
931038,big_cold
875567,little_cold
927925,big_cold
883035,normal
895576,big_cold
889317,little_cold
935950,big_cold
929429,little_cold
936448,little_cold
932399,normal
935951,big_cold
925778,normal
891556,normal
933464,little_cold
936421,normal
935948,normal
936142,big_cold
932401,little_cold
932404,big_cold
929731,little_cold
935955,normal
925771,normal
932400,big_cold
936462,little_cold
934816,big_cold
925777,big_cold
932406,big_cold
933374,little_cold
925774,normal
936454,normal
930658,big_cold
933549,big_cold
925766,big_cold
936259,big_cold
936458,little_cold
921566,little_cold
933592,normal
929736,big_cold
933467,little_cold
936450,normal
936424,normal
929452,little_cold
934603,big_cold
932405,little_cold
936453,little_cold
936449,big_cold
936451,normal
936461,little_cold
930680,little_cold
880581,normal
886274,normal
925972,normal
928495,little_cold
922613,big_cold
927837,normal
928840,normal
878947,normal
922573,big_cold
929449,normal
928494,normal
925035,normal
930657,normal
931330,big_cold
886271,normal
886275,little_cold
929457,big_cold
931066,little_cold
922575,normal
931361,normal
928786,normal
931071,little_cold
930991,little_cold
931356,big_cold
931381,normal
929433,normal
931331,normal
931380,normal
927784,normal
931360,normal
928604,normal
926331,normal
931317,little_cold
930976,big_cold
929668,normal
928512,little_cold
925974,normal
927869,little_cold
929439,normal
929688,little_cold
931364,big_cold
928839,big_cold
929690,normal
922566,big_cold
926946,little_cold
927870,little_cold
929689,big_cold
931067,normal
929470,little_cold
930962,normal
927823,big_cold
931369,big_cold
922618,big_cold
931061,big_cold
931328,little_cold
931370,big_cold
931327,normal
931329,little_cold
931326,big_cold
931332,normal
928507,normal
931068,normal
931019,little_cold
928511,little_cold
928595,little_cold
922559,normal
886279,big_cold
928513,normal
935325,normal
935305,big_cold
883128,big_cold
939462,big_cold
941866,normal
935307,normal
939463,big_cold
905312,normal
875681,normal
905089,normal
875044,big_cold
932480,normal
932479,normal
943724,big_cold
883130,little_cold
875678,little_cold
935993,normal
880091,normal
883131,little_cold
943263,big_cold
883124,normal
926534,normal
884890,big_cold
883141,big_cold
931539,little_cold
883118,big_cold
896277,big_cold
885194,big_cold
926507,little_cold
926471,little_cold
933672,big_cold
875677,little_cold
881550,normal
877752,little_cold
877758,normal
941582,normal
881548,little_cold
875680,big_cold
875676,big_cold
945942,little_cold
875675,big_cold
926515,normal
931124,little_cold
896276,normal
926533,big_cold
